Date,Open,High,Low,Close,Adj Close,Volume
2019-07-15,32.889999,32.889999,32.889999,32.889999,31.284124,0
2019-07-16,32.830002,32.830002,32.830002,32.830002,31.227058,0
2019-07-17,32.549999,32.549999,32.549999,32.549999,30.960728,0
2019-07-18,32.680000,32.680000,32.680000,32.680000,31.084379,0
2019-07-19,32.529999,32.529999,32.529999,32.529999,30.941704,0
2019-07-22,32.540001,32.540001,32.540001,32.540001,30.951218,0
2019-07-23,32.830002,32.830002,32.830002,32.830002,31.227058,0
2019-07-24,33.049999,33.049999,33.049999,33.049999,31.436317,0
2019-07-25,32.830002,32.830002,32.830002,32.830002,31.227058,0
2019-07-26,32.990002,32.990002,32.990002,32.990002,31.379244,0
2019-07-29,32.910000,32.910000,32.910000,32.910000,31.303150,0
2019-07-30,32.919998,32.919998,32.919998,32.919998,31.312660,0
2019-07-31,32.610001,32.610001,32.610001,32.610001,31.017797,0
2019-08-01,32.180000,32.180000,32.180000,32.180000,30.608793,0
2019-08-02,31.930000,31.930000,31.930000,31.930000,30.371000,0
2019-08-05,31.010000,31.010000,31.010000,31.010000,29.495918,0
2019-08-06,31.360001,31.360001,31.360001,31.360001,29.828831,0
2019-08-07,31.400000,31.400000,31.400000,31.400000,29.866877,0
2019-08-08,31.980000,31.980000,31.980000,31.980000,30.418558,0
2019-08-09,31.700001,31.700001,31.700001,31.700001,30.152231,0
2019-08-12,31.270000,31.270000,31.270000,31.270000,29.743223,0
2019-08-13,31.670000,31.670000,31.670000,31.670000,30.123693,0
2019-08-14,30.709999,30.709999,30.709999,30.709999,29.210566,0
2019-08-15,30.719999,30.719999,30.719999,30.719999,29.220078,0
2019-08-16,31.200001,31.200001,31.200001,31.200001,29.676643,0
2019-08-19,31.580000,31.580000,31.580000,31.580000,30.038088,0
2019-08-20,31.320000,31.320000,31.320000,31.320000,29.790783,0
2019-08-21,31.570000,31.570000,31.570000,31.570000,30.028576,0
2019-08-22,31.590000,31.590000,31.590000,31.590000,30.047600,0
2019-08-23,30.730000,30.730000,30.730000,30.730000,29.229589,0
2019-08-26,31.010000,31.010000,31.010000,31.010000,29.495918,0
2019-08-27,30.850000,30.850000,30.850000,30.850000,29.343731,0
2019-08-28,31.110001,31.110001,31.110001,31.110001,29.591036,0
2019-08-29,31.520000,31.520000,31.520000,31.520000,29.981018,0
2019-08-30,31.580000,31.580000,31.580000,31.580000,30.038088,0
2019-09-03,31.370001,31.370001,31.370001,31.370001,29.838341,0
2019-09-04,31.730000,31.730000,31.730000,31.730000,30.180765,0
2019-09-05,32.189999,32.189999,32.189999,32.189999,30.618303,0
2019-09-06,32.270000,32.270000,32.270000,32.270000,30.694401,0
2019-09-09,32.439999,32.439999,32.439999,32.439999,30.856096,0
2019-09-10,32.610001,32.610001,32.610001,32.610001,31.017797,0
2019-09-11,32.860001,32.860001,32.860001,32.860001,31.255594,0
2019-09-12,32.889999,32.889999,32.889999,32.889999,31.284124,0
2019-09-13,32.910000,32.910000,32.910000,32.910000,31.303150,0
